EIPR1	RBG1L
MPIP3	RTKN
CD5R1	MB12A
PYM1	REN3B
NDUB6	NDUB9
K1C16	K1C10
MOAP1	PNMA5
XRCC6	EF2
RIPP1	CFA58
UBP4	M3K7
EP300	CITE1
KR122	GDF15
SKI	TIF1B
CDK3	DMBX1
NCK1	GHR
GLNA	PIAS3
KLH20	DPYL1
TFE2	CALX
HELLS	BIP
RHBD2	FKBP8
WASC5	SNX1
HNRPD	CUTA
GRB2	REPS1
MCM7	PP1A
TRIM1	EFC4B
T2FA	TF2H4
H12	H11
CHD4	MCM3
INP5K	TANK
AGFG1	A4
CRX	ARI2
BRCA1	RWD2B
TBL1X	CTBP1
PTOV1	RS6
DKK3	ADT2
TTC38	SH3K1
IF6	RS16
RAD50	CTIP
CALM2	CIA30
HNRH2	TADBP
NAF1	MTOR
PSA3	PGK1
MYO10	TERF2
KIBRA	PAR6B
VIME	FLOT1
FANCC	FANCL
DNM3L	ERR3
ANO6	UPK1A
ZN404	MEOX2
SF3B1	MGN
SMTL2	1433G
RADI	ERF3B
BKRB1	RAE1L
ACHA	ACHG
OPSX	TGFR1
APEX1	RNF4
EIF3G	EIF1
CKLF3	REEP4
PCM1	TXLNA
CEP70	CDC37
CSF2	PRG2
TCPD	SGK2
RNF4	MPZL1
B4DYC6	NAL12
Q6P5T0	ABHGA
UB2Q1	C3AR
FANCF	MARK3
H4	HDAC3
UB2D1	EP300
FBSP1	HEY2
TRI54	TEANC
TMUB1	SGTB
NPM	RBM34
MAGD4	SHLB2
P2RY2	A4
PF21A	TAF10
A4	QKI
AIRE	GRB2
MASU1	JPH4
B4DE54	ZMIZ2
GTR4	GNL3L
MTND	ODB2
ECM29	DNJB9
RAB2A	CNTRB
PSN1	RYR2
RBM3	CAND1
MAP1B	TBA1B
SCAFB	NEDD1
GASP2	AGO1
LRIQ1	EPHB4
EF2	UBB
XPO1	BORG5
VHL	PSMD2
RN150	UB2D1
YAP1	MCMBP
RAB5A	RBNS5
NDRG1	YAP1
HEXA	CRK
GRM2	ZNT8
BCL6	HDAC9
NU188	G3BP1
CAB45	BIG2
GRIA3	E2AK3
TMTC1	JPH2
PECA1	YES
ZCCHV	RING2
HS90B	PDK1L
TAD2A	PP16B
TAP1	MBOA1
IP6K3	TRI27
RL8	RL5
LHX3	INSC
SUV91	H3C
NXPH4	PON2
RSRC1	UT14A
SDCB1	SRSF7
2A5B	SGO1
EF1B	ITA4
RAB2A	ICA69
STML2	MIC27
SOAT1	MDHM
FXL15	NEDD4
NP1L1	LCA5
PUF60	TY3H
ECD	TXNIP
HEY1	FEN1
STAC3	PPARA
WDR62	CK5P2
Q9NWP4	RN183
HSP7C	DYL1
INCA1	THRSP
RS23	PYM1
DLK1	PRAF2
TMM65	LAT2
DGLA	A5PKU2
LEG7	GAB1
PLIN3	RD23B
SNF8	ELL
MCR	HS90B
HCK	SOS1
CCNL2	RUN3A
A4	ZGRF1
FLNA	CYBR1
UBC12	TP4AP
CAND1	RNPS1
HDAC5	CTBP1
TMM88	MFF
PLIN3	KPYM
MCM2	H12
EIPR1	PFD5
TTC29	LSG1
DGLA	UPK1B
KCC2G	RAD
RMD1	CHIT1
ZN250	C102B
LMA2L	COL12
GCP2	1B07
TCPB	TBA1C
RNF31	PKP3
INSL3	KHDR1
Q6N083	Q7KZS0
TRABD	NDKB
EZH2	SRSF3
CASP8	BCL2
RS13	ESR1
CDK17	HDGR3
KLRD1	NKG2C
PIMT	KBTB7
SRTD1	ATG12
MK01	SMAD4
TB22B	AP4AT
BIN1	AP2A2
NSRP1	EMC2
K2C75	LGR4
PABP1	SMG1
RAD18	YES
AT1B3	MTCH2
TTC23	ZHANG
NDUS3	AT1B3
PININ	CNGB1
SH3G3	Q71RF8
BACE2	TECT2
TXLNA	CEP44
SQSTM	CALM1
UBP15	URP2
LZTS2	GATA1
RIOK1	RL23
ZN410	PFD3
TBA1B	CDC37
CBP	MED25
FKB1B	FABP5
CRTP1	IQUB
PGAM5	HS71B
GOT1B	PIEZ1
NOP9	FA83H
TRI23	A0A0S2Z3G1
LDH6B	NHRF1
ATX1	UBP7
PLA1A	ANXA2
RING2	SMD1
FANCA	ATR
HSF2B	RIN1
KR111	KRA59
SMIM3	MYPR
BRCA1	GPN1
IKKB	TWST1
CSK21	MAF1
HMGA1	IL2RA
TSR1	TADBP
SOX2	NIP7
TRI11	HMN1
F120B	HECW2
RUSC2	RAB1B
AN32E	H2B1A
MED1	ANDR
GSK3B	C2TA
RFIP4	CAN15
VIPR2	FAKD4
COG7	STAM2
RS15A	WDR26
RL5	VASN
TF2LY	NAB2
CDK6	SRSF7
THIOM	HAUS1
RU17	RT35
G3P	FKBP6
A2BDD9	Q4G0R1
BRD2	BAG1
DDX6L	ZSC26
KRA71	TOLIP
CCL14	CCR3
LMNA	EF1D
CH60	ARNT
DGCR8	NUCL
PNPT1	IPYR2
ELMO1	BAG3
RPAB5	PCH2
RNF4	ZNT7
RPA1	K1522
LTBP1	CASA1
HS90A	D3DR86
RS26	RL13A
CD81	STX1A
TYSY	PUR8
AIMP2	SYIC
IRAK1	IRAK3
TESP1	ITPR3
NEMO	DQA1
RL31	RL6
CDN1A	FHL3
MALT1	SHRPN
CT55	CNOT8
ASTE1	ZWINT
RNF11	GGA3
TFPT	IN80D
XRCC6	MSH2
AQP10	AR13B
LMF2	K1H1
VP33B	SF3B3
RL17	SYK
A4	SPZ1
KCAB2	NTF2
MED4	HEMO
UBS3B	K1C17
PSB7	PRS6A
RASN	MAPK3
PROF1	RAD52
AXIN2	UBC
LYZL1	TM131
CD4	ATPA
BORC6	HSBP1
RA51C	XRCC2
LAS1L	CUL3
GCN1	ITA4
XPO1	LEG7
LANC2	APBP2
TCRG1	FOXG1
S39A7	UBP49
ARRB2	G3BP2
RL18	RL26
PRSR2	KPTN
BCAR1	BIP
NSD3	BRD9
PLS4	AB17A
TTK	HS90A
GOGA2	ATX7
PDGFD	DCTN3
PFKAM	SFPQ
HIF1A	CAN1
HS74L	CHIP
KRA81	ATX1L
TIM50	PSA1
RM11	CAND1
EXOC3	IL1R2
CDK15	IL1RA
CLK2	LUZP4
CDC73	NUCB2
OBSL1	HS90B
CCNJL	WDR34
PGAM2	NTF2
HNRPL	ELAV2
IF2B3	RNF31
ENPL	QCR2
GNAI2	GNAI3
FOXO3	PLK1
GOPC	GBG4
SC6A1	STX1A
PAR10	CDK2
CF206	K22O
PPIB	CDK2
ZF64A	F124A
CUL4A	YAF2
PSA3	FRAT1
CR3L1	TNFA
CBPC1	LIPA1
SBSPO	ALR
AR13B	TM121
BACH2	FOSL2
IFFO1	COBL1
TCRG1	WASP
RGS3	ATG9A
SMC4	SPDLY
BRD4	MMGT1
EP300	IRF7
KR106	ZN169
XPO1	RISC
ZN707	RT29
LC7L2	U119A
MCAF1	ACTB
RALY	PHAR4
P53	TLR2
CDC37	ZN334
SYVN1	WDR20
BANP	F117B
P53	ITCH
BRE1B	HNRLL
GDF9	H15
ACTN4	GELS
CNPY4	LRRT2
NAB2	ENKD1
CEAM6	P121A
MKKS	BBS2
HNRPU	RS12
RPA1	NOP58
GSTM3	ASPP1
RPAC1	RPB3
ZN579	E4F1
S6A15	AT8B2
ICAL	P85A
MCM5	SSRP1
PGTB1	AMERL
KRA59	ZFY21
SMAD3	IRS1
FOSL2	USF2
PRP31	RU2A
GOGA2	K1C18
ERCC2	TF2H2
RAF1	HSP7C
PDGFD	DCTN6
Q9BX90	CACB4
NOTC3	ZFP41
AP2A	TIM14
H12	APLP2
FAM3C	CL17A
TSNAX	PDCD6
CLC4K	ZCH12
CASC4	PTN1
TRIM1	NSMF
KIF7	S39AA
SYTM	FKBPL
MLH1	GSTP1
MAGA4	RAD18
KI16B	C0H5X2
RGS18	GNAQ
LPIN3	KKCC1
HM20A	RABX5
RS26	GSK3A
KAPCA	ERBB3
EIF1B	SODM
COR1A	GOGA2
TIM23	TM14B
CTCF	LMNA
NDUA7	CAPZB
CENPA	CSN8
F168A	UBXN7
NDUB8	GALT6
FBW1B	WWTR1
NTAQ1	KRA94
RASF3	MLP3B
SYCC	U5S1
KCC1A	GCM1
GPBL1	TSSC4
FOS	XBP1
PPIP1	RL23A
ZN438	NXF1
IGHG1	DD19B
MYH9	CTNB1
RL29	SPDLY
TMM11	CCD70
RM11	MTUS2
LCOR	TCPZ
DEUP1	TRAF6
SYMPK	VP26A
RORA	PRS8
KCNN3	A4
TERA	UFD1
SMC2	YBOX1
UB2E3	TRIM1
THOC7	ZN606
HNRL2	COX15
PIN1	ZBT42
NUDC2	LBN
KPYM	EXOS5
WASP	ARP3
FLII	NTRK1
WBP11	PP1R7
MICA1	USH1G
TFP11	HMGN2
HEM1	ZFY26
ANM5	LENG8
DDX27	E9PAV9
RHOA	DIAP3
DHRS1	KRA59
FA92A	MBIP1
CLCA	GTSE1
ARNT	2AAA
ELOV1	RNF4
XIAP	DTX3
FKB15	AIPL1
PIMRE	VPS52
BAG6	CDCA5
PMEL	CQ080
SPN90	RPC3
MBD3	SRTD3
SP20H	HECW2
HERC1	ZN571
SYT16	DUS14
CDC6	MCM6
CSK21	CALM1
IBTK	B9D2
CRTP1	RM40
GPDM	GDPD5
E2F3	LMBL2
EIF3L	Q8N1K8
NARF	LMNA
KIFC3	ABI3
CEP76	CDK18
STAT1	RXRA
SMC2	NTRK1
MELK	CING
CTDP1	PRKDC
UBQL2	YT011
TM182	GPR42
CDR2L	CC146
TPD52	THOC2
KLH28	CUL3
CT2NL	OFD1
KLRG2	SIA7D
TRIP6	TAB1
WWOX	GBRL2
APEX1	NXF1
MOV10	RL31
1433S	PAIRB
SOX2	MTA1
GPN1	RPB7
K1C18	RTRAF
KIBRA	1433Z
NOP2	MAK16
ZCH18	NUMA1
NDUS8	MIRO2
TCAM2	IRAK3
MTOR	EGFR
ATS4	MT2
K2C79	K1C16
RHG44	RHG17
NHEJ1	NAA20
TNR6A	CNOT9
ENKD1	MEIS3
2ABB	S10A9
TYK2	PIHD1
MD1L1	NEBL
QCR1	HNRPD
ZN417	TRAF2
RS25	RC3H1
D3DR86	SYIC
RK	CAV1
UBE2S	HOIL1
BMI1	NANOG
KPCD1	UBP28
TNIP2	ODPB
H2AX	SPSB1
CO1A1	GT252
PARP2	H2B1A
LIFR	PRP4
NIBL1	SNW1
RLA2	A0A0A0MSF9
VIP	CTNA3
PP1A	CDK5
CC14A	NIN
CREB5	ZHANG
SRPK1	FUS
PARVA	SC24C
PTK7	AT1B4
B2RC52	MLF1
TMM79	SC22A
S26A6	APOL2
RACK1	CBX8
NP1L1	JAK3
SSRG	SND1
PPCE	ALDOC
RS24	ILF2
EXT1	SYPH
AKA12	DYRK2
UBL4A	PDE12
E41LB	ERP44
RS19	HUWE1
ATF6B	CLC2D
MFSD5	GP101
ROA0	SRSF5
STOM	CAND2
CIB1	NCOA1
HS90A	PPIE
MS18B	KDM1A
BTG1	RARA
SIAH1	SARM1
RS16	RS25
CRYAB	CAD16
NTF2	NNRE
KBTB7	RL34
TM258	DAD1
SUZ12	LA
CARM1	ALDOA
ESR1	CDN1A
NUBP2	CRTP1
VATL	LRC25
TM35A	CKLF5
SRP68	UBE2N
CLUS	PAXI1
RU17	SRSF2
NDK7	CC88B
LRRK1	SHC1
C43BP	P20D2
FIBA	KLK6
VAMP2	STX12
ARI1B	ARI1A
AIFM1	T22D4
S2546	MTX1
UBQL4	IGHM
ABL1	CXA8
PYY	NPY4R
INHBA	IGSF1
PSA4	NTRK1
RFA2	WASC5
RHEX	FIGL1
UN93B	REEP1
GRIN1	CTDSL
XPC	H2A2B
41	RB11B
SERPH	PIHD1
PCBP1	1433E
RL18	RBM4B
BAG6	PTMA
LCE4A	PLS3
LACC1	VATG1
NEK8	MTP
APBP2	UBP25
DOCK1	ARL4A
ITB2	CSN5
TRI27	VEZF1
CNOT2	TNR6A
THOC2	LGR4
DP13A	MYO6
RET1	SHC1
KRA42	GNMT
TITIN	VAV2
GIMA5	MGST3
DCNL5	TM206
TAF9	PELP1
PCBP1	SMC3
TTF2	IQCF1
RING2	TOP2A
UBE2K	SENP1
RENT1	TNIP2
VPS29	SNX6
EGFR	ABCA1
LACB2	SSU72
NOP9	RPAC1
RBM27	CHC10
TBK1	CEP44
ATL3	KR106
SMAD2	E41L5
CSN6	RL18
SAP25	PP14C
S39AA	EGLN3
TYDP1	DPOLB
PIN1	Q15559
SGTA	CTBP2
M3K3	FUS
MED4	T2FA
SNX2	H33
PPIB	G3P
RT30	ROA1
PMS2	H2B1C
PEX16	RCAS1
UBP20	MA7D2
TRAF6	KPCZ
PPME1	RAN
PCGF6	UBP7
SYUA	UBB
HTSF1	NAF1
BPNT1	DEFM
DYN1	AP2A2
TS101	YBOX1
MYH10	TF65
CL12A	STX10
ZCH18	SRRM2
EDA	GBRA3
PLS3	LCE2B
PCH2	SEM4G
MD1L1	LMO3
DGKH	DDT4L
NOC4L	BHE40
GPR98	SLAF1
SIR1	CSK2B
Q5JNW7	PSB7
Q9UQC1	TRAF1
OSTM1	RGS17
HDAC5	RBTN2
SERC1	AQP9
RM49	CUL3
SPRTN	DPOD3
CSTF2	IF4B
PHB	COX2
MADL2	CD79A
HDAC3	MBD1
CCD51	PCD20
TPD52	RT02
TFG	SC31A
SMAGP	1433E
SF3B6	TPBG
CD27	GBB2
EIF3F	HUWE1
KTN1	SYNE4
NPY2R	SIMC1
DHX35	WDR83
ILF3	HUWE1
DYN3	CDKAL
ARI4A	CDK1
RT31	FBW1A
PSB7	PSB8
NEDD8	KLH12
OCAD1	TXTP
K1C9	K2C1
RING2	NAT10
ELL2	ICE1
CRKL	PRR3
RBTN1	ZN688
U5S1	CHD3
ABCA1	PLTP
CD4	MDR1
RIOK2	EIF3B
CHCH2	TIM44
THOC6	U520
UBA5	PNMA1
RL3	PPP6
PAR2	CD63
SSX4	XBP1
ERBB2	STYX
ZMY11	NCOR1
