EEF2KMT	EEF2
KCNK9	KCNK3
ATXN3	RAD23A
CAMK4	KPNA2
EP300	UBE2I
POLD3	UBE2B
RRAGC	RRAGA
GRIN2A	GRIN2D
REV1	RPA2
P2RY1	GNAQ
PRKAB2	DYNLL2
FYN	GRB2
TM7SF2	NFYB
SFTPD	TLR2
GNAQ	TRIO
PAK2	MYL9
NAT8	BACE1
CD3G	VAV1
KRT28	KRT27
JAK2	IL6
CREB1	CEBPB
SYK	VAV2
LIPE	FABP4
SEC61A1	SEC61G
SOS1	IRS1
NCOR2	HDAC3
MAPK3	BAIAP2
GATA3	YY1
CYBA	NOX1
LIG4	PRKDC
DVL2	WNT3A
CALM1	IQGAP1
PRKCA	PIN1
BAX	PPP1R13B
ERBB2	NRG1
OAZ2	AZIN1
VAV3	SHC1
TFPI	F10
DCC	SIAH2
RAB21	GDI1
MYC	FOSB
HEY2	RUNX2
ACTC1	ACTA1
ARHGAP35	PTK6
TICAM2	RIPK1
SMAD2	PPM1A
PAK1	FLNA
BLM	SPIDR
IRF3	PIN1
COPE	COPG2
ASXL2	HCFC1
GFAP	ERBB4
COMP	ITGAV
PAK1	EFNB1
PAPPA2	IGFBP5
RUNX2	WWP1
ATG7	ATG3
PRIM1	POLD3
CAPNS2	CAPN1
PTH	PTH1R
SUMO2	SUMO1
PAK1	CDH5
FUNDC1	ATG12
STRN	GNAI1
ELP2	ELP4
SRC	GRB2
GHRHR	GHRH
NR1H3	PLIN1
IL1A	IL1R1
ARNT	AHRR
RNF168	HERC2
SH3KBP1	MET
COPS5	CCDC22
UCHL3	UBA52
EIF4E	SLBP
ACTB	FMNL1
CETN2	XPC
CLASP2	ABL2
SRC	PDGFRB
SOS1	JAK2
BCAR1	PDGFA
HSP90AB1	CASP1
GABRB1	GABRA1
CDC42	NCK2
ANK2	KCNQ2
DYNC1I2	DCTN4
TFDP1	FBXO5
BRAF	NGF
IL12A	JAK1
NRP1	SEMA3A
NRG4	EREG
DLG2	CAMK2B
ATG13	DYNLL2
CISH	GH1
PIK3CD	IL3RA
CUL4B	XPC
PAK2	SEMA3A
CD247	CD3G
AKT1	PDPK1
DDX58	ITCH
TP53BP1	SUMO2
IL6ST	IL12RB2
XPA	CUL4B
JAG1	RUNX3
RPA2	UBE2B
NRF1	PPARGC1B
FABP6	ALB
KCNJ2	KCNJ14
RASGRF1	DLG4
OPN1SW	GNAT1
ATG101	ATG14
PIK3CB	IL5RA
STX10	GCC2
SH3GL2	AP2B1
CSF2	CSF2RA
DDX58	RIPK1
DBT	GCSH
POLD4	APEX1
NCOR2	SMAD3
